popularity,votes,premiere_year,genre,country_origin,original_language,rating_label
25.3422,1507,2012,"Animation, Action & Adventure, Sci-Fi & Fantasy",Japan,Japanese,excellent
0.754,922,2005,"Sci-Fi & Fantasy, Drama",Canada,English,excellent
13.6288,592,2024,"Animation, Action & Adventure, Sci-Fi & Fantasy",United States,English,excellent
12.283,314,2019,"Animation, Comedy, Kids, Action & Adventure, Sci-Fi & Fantasy, Family",United States,English,excellent
17.9223,715,2022,"Drama, Sci-Fi & Fantasy, Action & Adventure, Mystery",South Korea,Korean,excellent
35.6173,1658,2011,"Animation, Family, Sci-Fi & Fantasy, Comedy","Germany, Ireland, United Kingdom, United States",English,excellent
4.0958,361,2003,"Comedy, Kids, Family",Chile,Spanish,excellent
17.4677,789,2019,"Animation, Comedy",Japan,Japanese,excellent
8.6715,1262,2019,"Animation, Action & Adventure",Japan,Japanese,excellent
25.4725,2681,2014,"Animation, Comedy, Drama",United States,English,excellent
5.0399,1579,2019,"Animation, Action & Adventure, Comedy, Sci-Fi & Fantasy",Japan,Japanese,excellent
35.5931,1371,2021,"Action & Adventure, Animation, Sci-Fi & Fantasy",Japan,Japanese,excellent
16.3435,1275,2018,"Animation, Comedy, Mystery, Drama",Japan,Japanese,excellent
8.5169,1848,2018,"Animation, Drama, Sci-Fi & Fantasy, Comedy",Japan,Japanese,excellent
5.0628,636,2016,"Animation, Comedy, Drama",Japan,Japanese,excellent
5.7493,397,2010,"Animation, Action & Adventure, Kids, Family",United States,English,excellent
11.052,207,2023,"Animation, Comedy",Japan,Japanese,excellent
10.4049,857,2019,"Drama, Comedy",South Korea,Korean,excellent
21.6583,1976,2012,"Animation, Action & Adventure, Comedy, Sci-Fi & Fantasy",Japan,Japanese,excellent
29.3766,8480,2007,"Animation, Action & Adventure, Sci-Fi & Fantasy",Japan,Japanese,excellent
6.7829,1162,2021,Drama,Sweden,Swedish,excellent
16.1588,781,1996,"Action & Adventure, Animation, Comedy",Japan,Japanese,excellent
55.6768,10637,2013,"Drama, Crime",United Kingdom,English,excellent
48.2855,2123,2022,"Animation, Comedy, Action & Adventure",Japan,Japanese,excellent
7.9837,1065,2021,"Animation, Comedy, Drama",Japan,Japanese,excellent
7.4887,959,2019,"Comedy, Drama",United States,English,excellent
7.5454,459,2020,"Drama, Comedy, Sci-Fi & Fantasy",South Korea,Korean,excellent
137.2188,2766,2018,"Crime, Drama, Comedy",United States,English,excellent
12.178,673,1976,"Animation, Drama, Kids",Japan,Japanese,excellent
18.2213,1954,2022,"Animation, Action & Adventure, Sci-Fi & Fantasy, Comedy",Japan,Japanese,excellent
1.5885,278,1996,"Animation, Comedy, Kids",France,French,excellent
16.0388,352,2025,"Crime, Drama, Mystery",United States,English,excellent
10.5726,1426,2020,"Drama, Comedy",South Korea,Korean,excellent
7.0367,592,2019,"Sci-Fi & Fantasy, Drama, Comedy",South Korea,Korean,excellent
21.9041,6028,2010,"Crime, Drama, Mystery",United Kingdom,English,excellent
3.6713,350,1985,"Animation, Drama, Sci-Fi & Fantasy",United States,English,excellent
14.1214,1031,2021,"Action & Adventure, Comedy, Drama",South Korea,Korean,excellent
4.5414,453,2018,"Animation, Comedy, Drama",Japan,Japanese,excellent
12.9746,1804,1998,"Animation, Action & Adventure, Sci-Fi & Fantasy, Western",Japan,Japanese,excellent
15.3124,694,2004,"Animation, Drama, Crime, Mystery",Japan,Japanese,excellent
4.5041,335,2023,"Sci-Fi & Fantasy, Drama, Animation",United States,English,excellent
6.7793,919,2016,"Comedy, Drama",South Korea,Korean,excellent
2.8,414,2019,"Documentary, Family",United Kingdom,English,excellent
11.8901,1494,2019,"Animation, Action & Adventure, Sci-Fi & Fantasy, Drama",Japan,Japanese,excellent
6.7523,563,2013,"Animation, Drama",Japan,Japanese,excellent
7.4357,552,2016,"Drama, Sci-Fi & Fantasy, War & Politics",South Korea,Korean,excellent
7.3106,428,2001,"Animation, Action & Adventure, Sci-Fi & Fantasy",Japan,Japanese,excellent
14.7515,240,2023,"Mystery, Drama, Action & Adventure",South Korea,Korean,excellent
15.9692,208,2023,Drama,China,Chinese,excellent
12.5846,269,2024,"Animation, Comedy, Action & Adventure, Sci-Fi & Fantasy",Japan,Japanese,excellent
1.6328,405,2020,Reality,South Korea,Korean,excellent
10.0228,909,2018,"Drama, Mystery, Crime",Thailand,Thai,excellent
14.4203,9788,2019,"Action & Adventure, Sci-Fi & Fantasy, Drama",United States,English,excellent
22.3023,2053,2021,"Comedy, Mystery, Crime",United States,English,excellent
7.9319,266,2003,Drama,South Korea,Korean,excellent
49.0077,2967,2010,"Animation, Comedy, Sci-Fi & Fantasy",United States,English,good
6.2693,299,2021,"Drama, War & Politics",South Korea,Korean,excellent
11.7466,2117,2022,Reality,United States,English,excellent
7.361,648,2023,"Action & Adventure, Animation",United States,English,good
5.7309,854,2019,"Animation, War & Politics, Action & Adventure, Drama",Japan,Japanese,excellent
7.2969,2005,2017,"Action & Adventure, Animation, Comedy",Japan,Japanese,good
7.2198,353,2021,"Reality, Comedy",United Kingdom,English,excellent
5.9116,436,2001,"Animation, Sci-Fi & Fantasy, Comedy, Kids",United States,English,excellent
8.1109,603,2010,"Animation, Comedy",Japan,Japanese,good
17.2403,462,1992,"Animation, Action & Adventure, Sci-Fi & Fantasy",Japan,Japanese,excellent
17.9227,1221,2016,"Animation, Action & Adventure, Comedy, Sci-Fi & Fantasy",Japan,Japanese,good
9.1232,1625,2014,Documentary,United States,English,excellent
7.8972,981,2004,"Comedy, Kids",United States,English,good
4.582,279,2019,"Animation, Comedy, Drama",Japan,Japanese,excellent
6.009,1181,2016,"Animation, Drama, Mystery",Japan,Japanese,good
11.3816,720,1997,"Action & Adventure, Sci-Fi & Fantasy, Animation",Japan,Japanese,good
13.5422,1624,2022,"Animation, Action & Adventure, Drama, Sci-Fi & Fantasy",Japan,Japanese,excellent
11.8672,1536,2020,"Animation, Comedy",Japan,Japanese,excellent
44.7886,308,2020,"Animation, Comedy",United States,English,excellent
4.3413,870,2020,"Drama, Sci-Fi & Fantasy",South Korea,Korean,excellent
10.786,598,2018,"Drama, Family",China,Chinese,excellent
17.4797,1047,2015,"Animation, Sci-Fi & Fantasy, Action & Adventure",Japan,Japanese,excellent
8.47,881,2022,Drama,South Korea,Korean,good
10.8242,892,2018,"Animation, Drama, Sci-Fi & Fantasy",Japan,Japanese,excellent
19.953,1357,1986,"Animation, Drama, Action & Adventure, Sci-Fi & Fantasy",Japan,Japanese,excellent
6.6894,305,2021,"Animation, Action & Adventure",Japan,Japanese,excellent
62.7451,12662,2017,Drama,United States,English,excellent
8.1581,787,2018,"Animation, Kids, Sci-Fi & Fantasy",United States,English,good
36.1787,4644,2000,Comedy,United States,English,excellent
29.2769,6592,2023,Drama,United States,English,good
24.2022,678,2024,"Animation, Action & Adventure, Sci-Fi & Fantasy",Japan,Japanese,good
40.8752,4565,2011,"Sci-Fi & Fantasy, Drama, Comedy",United States,English,good
24.7871,967,1959,"Sci-Fi & Fantasy, Mystery, Drama",United States,English,excellent
14.5756,842,2022,Drama,South Korea,Korean,good
5.7999,947,2016,"Drama, Comedy",South Korea,Korean,good
28.2752,2232,2008,"Action & Adventure, Sci-Fi & Fantasy, Animation",United States,English,excellent
124.0256,25807,2011,"Sci-Fi & Fantasy, Drama, Action & Adventure",United States,English,good
3.049,614,2019,"Animation, Action & Adventure, Sci-Fi & Fantasy",Japan,Japanese,good
18.8828,839,2020,"Animation, Action & Adventure, Sci-Fi & Fantasy",Japan,Japanese,excellent
12.754,230,2006,"Animation, Comedy, Drama, Family",Japan,Japanese,good
10.6997,5158,2020,Drama,United States,English,good
5.285,328,2014,"Animation, Comedy, Drama",Japan,Japanese,good
2.9962,417,2020,"Animation, Action & Adventure, Sci-Fi & Fantasy, Comedy",Japan,Japanese,good
9.852,252,2003,"Animation, Comedy, Kids",Japan,Japanese,excellent
17.1634,1527,2024,"Drama, War & Politics",United States,English,good
8.2663,1119,2016,"Family, Animation, Action & Adventure, Comedy, Sci-Fi & Fantasy",United States,English,good
10.7853,622,2024,"Drama, Sci-Fi & Fantasy, Comedy",South Korea,Korean,good
9.7169,730,2019,"Animation, Drama, Comedy",Japan,Japanese,good
19.2933,599,2023,"Drama, Comedy, Sci-Fi & Fantasy",South Korea,Korean,good
18.5839,823,2022,"Animation, Comedy, Drama",Japan,Japanese,good
49.5507,11379,2019,"Sci-Fi & Fantasy, Action & Adventure",United States,English,good
13.9933,229,2019,"Comedy, Drama, Crime",United Kingdom,English,good
22.4704,729,2017,"Animation, Drama, Mystery",Japan,Japanese,good
7.364,208,2024,"Mystery, Drama",South Korea,Korean,good
4.6028,259,2022,"Drama, Sci-Fi & Fantasy, Action & Adventure",South Korea,Korean,good
2.0055,491,2013,Comedy,Mexico,Spanish,good
70.5736,15189,2016,"Crime, Sci-Fi & Fantasy",United States,English,good
7.6911,779,2015,"Animation, Comedy, Drama",Japan,Japanese,good
10.8861,585,2006,"Animation, Comedy, Action & Adventure, Sci-Fi & Fantasy",Japan,Japanese,good
9.8202,1751,2021,"Action & Adventure, Animation, Sci-Fi & Fantasy",Japan,Japanese,good
33.5325,478,2025,"Crime, Drama","United Kingdom, United States",English,good
9.4675,459,2006,"Action & Adventure, Animation, Comedy",Japan,Japanese,good
3.6873,224,2019,"Animation, Comedy, Sci-Fi & Fantasy",Japan,Japanese,good
10.9451,682,2022,"Comedy, Drama",South Korea,Korean,good
22.7314,2979,2018,"Sci-Fi & Fantasy, Drama",United States,English,good
9.0577,881,2011,"Animation, Sci-Fi & Fantasy, Mystery, Comedy",Japan,Japanese,good
12.4259,582,2020,"Animation, Comedy",United States,English,good
15.1063,1238,2019,"Animation, Drama, Mystery",Japan,Japanese,good
8.2496,359,2016,"Animation, Action & Adventure, Comedy, Sci-Fi & Fantasy",Japan,Japanese,good
14.3916,849,2001,"Sci-Fi & Fantasy, Action & Adventure, Animation",United States,English,good
5.878,253,2019,"Animation, Comedy",Japan,Japanese,good
10.3007,297,2021,"Crime, Mystery, Sci-Fi & Fantasy",South Korea,Korean,good
5.7986,361,2015,"Animation, Comedy",Japan,Japanese,good
11.0954,396,2021,"Animation, Sci-Fi & Fantasy, Action & Adventure, Comedy",Japan,Japanese,good
8.2765,238,1999,"Animation, Comedy, Drama",Japan,Japanese,good
90.0183,8689,1994,Comedy,United States,English,good
7.7465,685,2019,"Animation, Comedy",Japan,Japanese,good
13.6529,1268,2021,"Animation, Drama, Action & Adventure, Crime",Japan,Japanese,good
2.5157,610,2020,"Family, Comedy, Sci-Fi & Fantasy",United States,English,good
27.7714,7209,2017,"Crime, Drama, Sci-Fi & Fantasy, Mystery",Germany,German,good
5.5121,203,2020,"Drama, Family, Comedy",China,Chinese,good
4.6958,234,2020,"Animation, Comedy",Japan,Japanese,good
30.1958,13629,2017,"Crime, Drama, Mystery",United States,English,good
44.7713,3112,2008,"Crime, Drama",United States,English,good
15.7975,232,2023,"Comedy, Drama",Mexico,Spanish,good
4.4806,207,2018,"Drama, Comedy",Thailand,Thai,good
3.4673,5070,2014,"Animation, Action & Adventure, Sci-Fi & Fantasy",Japan,Japanese,good
13.2451,818,2018,"Action & Adventure, Animation, Sci-Fi & Fantasy, Comedy",Japan,Japanese,good
7.2108,204,1994,"Animation, Sci-Fi & Fantasy, Action & Adventure, Drama, Comedy",Japan,Japanese,good
7.75,296,2022,Drama,South Korea,Korean,good
22.6642,10589,2019,"Sci-Fi & Fantasy, Action & Adventure, Drama",United States,English,good
5.6053,671,2006,"Animation, Drama, Sci-Fi & Fantasy",Japan,Japanese,good
16.9686,1271,2013,"Animation, Comedy, Action & Adventure, Family, Sci-Fi & Fantasy",United States,English,good
51.9664,2511,2014,"Crime, Drama",United States,English,good
9.541,582,2012,"Animation, Comedy, Drama",Japan,Japanese,good
2.592,1410,2020,Drama,Spain,Spanish,good
7.2487,290,2019,"Animation, Sci-Fi & Fantasy, Action & Adventure",United States,English,good
4.3573,307,2015,"Drama, Comedy",United States,English,good
20.5007,5175,2004,"Soap, Comedy, Drama",Mexico,Spanish,good
9.0303,262,2024,"Drama, Mystery, Crime",South Korea,Korean,good
7.0216,206,2025,"Animation, Drama, Comedy, Sci-Fi & Fantasy",United States,English,good
7.7928,570,2023,"Drama, Sci-Fi & Fantasy",South Korea,Korean,good
1.8184,458,2021,"Animation, Comedy, Drama",Italy,Italian,good
7.6653,380,2020,Drama,South Korea,Korean,good
11.7462,1148,2015,"Animation, Comedy, Action & Adventure, Sci-Fi & Fantasy",Japan,Japanese,good
74.4275,3910,2015,"Animation, Comedy, Action & Adventure, Sci-Fi & Fantasy",Japan,Japanese,good
59.2121,2323,2012,Drama,United States,English,good
14.4753,410,2017,"Animation, Sci-Fi & Fantasy, Drama, Action & Adventure",Japan,Japanese,good
8.4139,250,2024,"Drama, Comedy",South Korea,Korean,good
41.2073,1274,2018,Drama,United States,English,good
13.7982,1143,2024,"Drama, Crime",United States,English,good
23.1782,2284,2022,"Drama, Mystery, Sci-Fi & Fantasy",United States,English,good
3.9533,319,2023,Drama,Colombia,Spanish,good
6.2472,587,2017,"Animation, Comedy, Drama, Action & Adventure, Sci-Fi & Fantasy",Japan,Japanese,good
1.8345,385,2021,Documentary,"New Zealand, United Kingdom",English,good
22.3101,1172,2010,"Animation, Sci-Fi & Fantasy, Action & Adventure",United States,English,good
12.5086,242,2020,"Drama, Mystery",South Korea,Korean,good
15.9654,422,2024,"Drama, Comedy",South Korea,Korean,good
11.5938,455,2015,"Family, Kids, Animation, Action & Adventure, Sci-Fi & Fantasy",United States,English,good
6.0535,913,2018,"Animation, Action & Adventure, Sci-Fi & Fantasy, Comedy","United States, Canada",English,good
5.9471,473,2021,"Animation, Comedy",Japan,Japanese,good
64.2052,3362,1993,"Mystery, Sci-Fi & Fantasy, Crime",United States,English,good
5.3176,200,1978,"Animation, Action & Adventure, Sci-Fi & Fantasy, Family",Japan,Japanese,good
3.7249,281,2022,"Comedy, Drama, Animation",South Korea,Korean,good
7.9563,876,2012,"Action & Adventure, Animation, Comedy, Sci-Fi & Fantasy, Family",Canada,English,good
2.8222,370,2001,Documentary,United Kingdom,English,good
7.4055,277,2014,"Animation, Drama, Comedy, Action & Adventure, Sci-Fi & Fantasy",Japan,Japanese,good
68.6848,10063,2022,"Sci-Fi & Fantasy, Mystery, Comedy",United States,English,good
2.3188,379,2009,Documentary,United Kingdom,English,good
20.294,994,1992,"Action & Adventure, Animation, Comedy, Sci-Fi & Fantasy, Kids",Japan,Japanese,good
5.0704,581,2019,"Animation, Action & Adventure, Sci-Fi & Fantasy, Comedy",Japan,Japanese,good
40.861,1646,1987,"Sci-Fi & Fantasy, Action & Adventure, Drama, Mystery",United States,English,good
34.0083,3550,1999,"Animation, Comedy, Sci-Fi & Fantasy",United States,English,good
1.6419,292,2011,Documentary,United Kingdom,English,good
8.1804,771,2016,"Drama, Action & Adventure",South Korea,Korean,good
20.6087,2128,2020,"Drama, Comedy",United States,English,good
37.6329,5816,2002,"Animation, Action & Adventure, Sci-Fi & Fantasy",Japan,Japanese,good
13.7002,1278,2003,"Animation, Action & Adventure, Sci-Fi & Fantasy",United States,English,good
12.0034,330,2009,"Animation, Drama",Japan,Japanese,good
74.3715,4065,2008,"Crime, Drama, Mystery",United States,English,good
37.5062,2017,2004,"Action & Adventure, Animation, Sci-Fi & Fantasy",Japan,Japanese,good
4.3802,200,2018,"Animation, Family, Sci-Fi & Fantasy","Canada, United Kingdom",English,good
11.6151,579,2017,"Animation, Drama, Action & Adventure, Sci-Fi & Fantasy",Japan,Japanese,good
42.8985,4692,1989,"Animation, Sci-Fi & Fantasy, Action & Adventure",Japan,Japanese,good
4.8566,478,2020,"Sci-Fi & Fantasy, Drama, Comedy, Mystery",South Korea,Korean,good
22.1312,683,2020,"Animation, Comedy, Action & Adventure, Sci-Fi & Fantasy",China,Chinese,good
73.8484,581,2024,Drama,Germany,German,good
3.2764,311,2016,"Animation, Comedy",Japan,Japanese,good
12.7933,1907,2004,Comedy,United States,English,good
18.7967,932,2020,"Animation, Comedy",Japan,Japanese,good
20.4035,1447,2015,"Action & Adventure, Animation, Comedy, Sci-Fi & Fantasy, Family",United States,English,good
7.8417,1004,2019,"Animation, Action & Adventure, Sci-Fi & Fantasy",Japan,Japanese,good
10.1108,1326,2014,"Animation, Drama, Sci-Fi & Fantasy, Action & Adventure",Japan,Japanese,good
27.0856,2380,1990,"Drama, Mystery",United States,English,good
16.4549,1040,2018,Drama,United States,English,good
10.1319,3481,1999,"Soap, Comedy, Drama",Colombia,Spanish,good
64.1469,4743,1997,"Animation, Comedy",United States,English,good
10.9396,2252,2002,"Drama, Action & Adventure, Sci-Fi & Fantasy",United States,English,good
6.2723,1024,2012,"Animation, Drama, Mystery",Japan,Japanese,good
15.9309,827,2006,"Animation, Sci-Fi & Fantasy, Action & Adventure, Drama",Japan,Japanese,good
19.235,402,2016,"Animation, Comedy, Crime, Mystery, Action & Adventure, Sci-Fi & Fantasy, Drama",Japan,Japanese,good
6.7969,403,2017,"Animation, Comedy",Japan,Japanese,good
8.5514,1207,2019,"Animation, Mystery, Sci-Fi & Fantasy, Action & Adventure, Drama, Crime",Japan,Japanese,good
22.5049,676,2017,"Drama, Crime",United States,English,good
7.0729,200,2012,"Animation, Action & Adventure, Sci-Fi & Fantasy",Japan,Japanese,good
38.9139,256,2023,"Animation, Action & Adventure, Sci-Fi & Fantasy",Japan,Japanese,good
11.5572,282,2023,"Animation, Drama",Japan,Japanese,good
12.1877,1136,2004,"Action & Adventure, Animation, Comedy, Sci-Fi & Fantasy",United States,English,good
17.0514,397,2020,"Drama, Mystery, Action & Adventure",South Korea,Korean,good
17.1831,1051,1988,"Comedy, Drama, Family",United States,English,good
7.1588,225,2020,"Animation, Mystery",Japan,Japanese,good
7.1637,676,2018,"Comedy, Drama",South Korea,Korean,good
4.254,668,2018,Comedy,United States,English,good
12.9394,848,2017,"Animation, Comedy, Sci-Fi & Fantasy",Japan,Japanese,good
6.9206,1378,2004,"Action & Adventure, Animation, Drama, Mystery, Sci-Fi & Fantasy",Japan,Japanese,good
4.9084,252,2020,"Drama, Comedy, Sci-Fi & Fantasy",South Korea,Korean,good
17.5555,988,2021,"Animation, Action & Adventure, Sci-Fi & Fantasy, Drama, Crime",Japan,Japanese,good
11.2762,467,2023,"Drama, Action & Adventure, Crime",South Korea,Korean,good
9.5717,541,2021,"Animation, Comedy, Drama",Japan,Japanese,good
16.6763,470,2013,"Animation, Sci-Fi & Fantasy, Comedy, Action & Adventure",Japan,Japanese,good
146.0151,2395,2022,"Crime, Drama, Comedy",United States,English,good
14.5018,584,2023,"Animation, Comedy, Action & Adventure, Sci-Fi & Fantasy",Japan,Japanese,good
4.1734,592,2020,"Drama, Comedy",South Korea,Korean,good
14.3959,756,2012,"Action & Adventure, Kids, Animation, Sci-Fi & Fantasy, Comedy",United States,English,good
61.714,9371,2009,"Drama, Sci-Fi & Fantasy",United States,English,good
12.3267,1117,2019,"Action & Adventure, Animation, Comedy, Sci-Fi & Fantasy",United States,English,good
12.1283,1114,2020,"Action & Adventure, Drama, Mystery",United States,English,good
5.0505,804,2017,"Comedy, Sci-Fi & Fantasy, Drama",South Korea,Korean,good
10.3841,1142,2008,"Animation, Sci-Fi & Fantasy, Action & Adventure",United States,English,good
1.0952,251,2020,"Sci-Fi & Fantasy, Animation, Action & Adventure",United States,English,good
35.6633,5576,2022,"Sci-Fi & Fantasy, Drama, Action & Adventure",United States,English,good
4.4734,326,2019,"Animation, Comedy",Japan,Japanese,good
11.055,348,2016,"Animation, Comedy, Sci-Fi & Fantasy",Japan,Japanese,good
94.8485,3951,2005,"Crime, Drama, Mystery",United States,English,good
7.019,458,2022,Documentary,United Kingdom,English,good
5.1824,298,2019,Comedy,United States,English,good
10.2602,380,2007,"Action & Adventure, Animation, Kids, Sci-Fi & Fantasy","Canada, Japan, Jamaica",Japanese,good
7.931,286,2022,"Drama, Mystery",South Korea,Korean,good
8.306,973,2020,"Animation, Comedy",Japan,Japanese,good
209.8347,8079,2005,"Drama, Mystery, Sci-Fi & Fantasy",United States,English,good
7.809,720,2004,"Action & Adventure, Animation, Comedy, Drama",Japan,Japanese,good
2.0356,400,2006,Drama,Colombia,Spanish,good
1.9623,202,2011,Documentary,United Kingdom,English,good
1.0909,212,2022,"Comedy, Action & Adventure, Crime",Mexico,Spanish,good
5.8592,794,2013,"Comedy, Drama",South Korea,Korean,good
4.6791,350,2012,"Animation, Comedy, Drama",Japan,Japanese,good
6.2758,375,2020,"Animation, Comedy, Action & Adventure, Sci-Fi & Fantasy",Japan,Japanese,good
4.9401,303,2014,"Comedy, Action & Adventure, Mystery, Drama",South Korea,Korean,good
35.557,3033,2014,"Crime, Drama",United States,English,good
7.2731,488,2019,"Drama, Mystery, Action & Adventure",South Korea,Korean,good
3.5154,260,2014,"Comedy, Drama",South Korea,Korean,good
9.436,460,2007,"Animation, Comedy, Drama, Sci-Fi & Fantasy",Japan,Japanese,good
9.7488,709,2014,"Comedy, Family",United States,English,good
36.3287,10214,2019,Drama,United States,English,good
36.2079,5805,2011,"Sci-Fi & Fantasy, Drama, Mystery",United Kingdom,English,good
15.2202,1082,1994,"Animation, Action & Adventure",United States,English,good
6.2431,769,2020,"Action & Adventure, Sci-Fi & Fantasy, Animation",Japan,Japanese,good
18.9177,4184,2022,"Action & Adventure, Drama, Sci-Fi & Fantasy",South Korea,Korean,good
